24067,134616,bu4
23613,133031,jin3/jin4
21608,133010,zhou1
23447,132704,zong1
30149,132664,bing4
21326,132403,hua2/hua4
31216,131938,chen4/cheng1/cheng4
32599,131828,luo1/luo2
29233,131534,ai4
23548,131375,dao3
30830,131223,que4
21602,130994,ne/ni2
21150,130675,ban4
33410,130487,jie2/jie1
26681,130467,gen1
20987,130084,ji1
21830,127543,shang1
38472,127053,chen2
28779,126942,huo3
20852,126488,xing1/xing4
20140,126279,jing1
27880,126258,zhu4
34429,126209,sui1
26432,126192,sha1
29238,125984,fu4
23384,125880,cun2
33251,125752,chen2
20934,125605,zhun3
24191,125039,guang3
39318,124986,shou3
20046,124363,hu1
20855,123904,ju4
29978,123872,shen4
40644,123742,huang2
28385,123653,man3
23481,123566,rong2
21333,123501,chan2/dan1/shan4
32852,123453,lian2
35843,122803,diao4/tiao2
21507,122554,chi1/ji2
21476,122494,gu3
31639,121931,suan4
22352,121890,zuo4
26089,121847,zao3
24341,121804,yin3
39035,121400,xu1
31163,121221,li2
35777,121209,zheng4
32422,121133,yao1/yue1
27597,121012,mu3
32452,120475,zu3
25151,120181,fang2
26366,119499,ceng2/zeng1
20284,119441,si4
26131,118224,yi4
38543,118171,sui2
31934,117952,jing1
35270,117502,shi4
23578,117388,shang4
26029,117385,duan4
20035,117379,nai3
24433,117184,ying3
38500,117112,chu2
38738,116992,qing1
21021,116823,chu1
24687,116306,xi1
23432,116132,shou3
20826,116040,dang3
21322,114901,ban4
21439,114515,xian4
36731,114377,qing1
36136,114302,zhi4
35821,114237,yu3/yu4
36234,114128,yue4
20917,114068,kuang4
20030,113874,ju3
30343,113416,huang2
38065,113334,qian2
21382,113321,li4
30041,113227,liu2
20048,113092,le4/yue4
31456,113000,zhang1
29031,112533,zhao4
22120,112052,qi4
20889,112037,xie3
22242,111293,tuan2
35832,110849,zhu1
38395,110496,wen2
20134,110468,yi4
36275,110170,zu2
20313,109832,yu2
25972,109736,zheng3
20215,109581,jia4/jie
21495,109496,hao2/hao4
32423,109401,ji2
21442,109382,can1/shen1
31034,109081,shi4
25903,108523,zhi1
32418,108480,hong2
38463,108394,a1/a4/a/e1
28040,107995,xiao1
22270,107977,tu2
26143,107929,xing1
33853,107275,la4/luo4
31036,107058,li3
33829,106543,ying2
22686,106256,zeng1
22303,106109,tu3
38469,106046,ji4
33268,105897,zhi4
24535,105715,zhi4
22812,105636,ye4
38656,105318,xu1
30342,105205,jie1
24038,105003,zuo3
31350,104759,jiu1
27721,104662,han4
24565,104319,nian4
26082,104197,ji4
36865,103476,song4
26174,103451,xian3
32622,103227,zhi4
20122,103168,ya4
25512,103078,tui1
23621,102821,ju1
21015,102713,lie4
21531,102471,jun1
21253,102343,bao1
25216,102118,ji4
32447,101498,xian4
24351,101492,di4
23458,101308,ke4
22996,101111,wei1/wei3
32456,101059,zhong1
36873,100384,xuan3
40857,100347,long2
21183,99656,shi4
32771,99524,kao3
21491,99064,you4
23646,98897,shu3/zhu3
37202,98265,jiu3
20892,98067,nong2
29255,97994,pian1/pian4
24076,97912,xi1
30772,97833,po4
35859,97572,wei4
21916,97430,xi3
36153,97336,fei4
35848,97074,tan2
38899,96907,yin1
26597,96845,cha2/zha1
19987,96769,zhuan1
27490,96594,zhi3
21527,96441,ma3/ma
25214,95872,zhao3
39135,95753,shi2/si4
35013,95456,zhuang1
32477,95363,jue2
31572,95330,da1/da2
25932,95252,di2
23475,95141,hai4
23494,95115,mi4
30740,95051,yan2
21016,94803,liu2
20381,94730,yi1
25353,94594,an4
20037,94466,jiu3
23453,94457,bao3
25915,94248,gong1
20225,94067,qi3
26696,93966,an4
23519,93806,cha2
40657,93586,hei1
31361,93448,tu1
20498,93431,dao3/dao4
23616,93177,ju2
25237,93127,tou2
34915,93100,yi1/yi4
24895,93032,yuan4
30465,93007,sheng3/xing3
27442,92849,yu4
29575,92835,lu:4/shuai4/lv4
20005,92733,yan2
24453,92283,dai1/dai4
24402,92137,gui1
21307,92010,yi1
29577,91994,yu4
33337,91782,chuan2
22855,91754,ji1/qi2
25252,91710,hu4
21355,91643,wei4
23681,91597,sui4
24459,91451,lu:4/lv4
26631,91121,biao1
32618,90904,zui4
21543,90886,ba1/ba
32676,90620,qun2
26149,90299,chun1
21709,90104,xiang3
20173,89668,reng2
26576,89639,mou3
32454,89521,xi4
25215,89473,cheng2
25343,89368,na2
26045,89240,shi1
24613,89179,ji2
32844,89161,zhi2
21478,88691,ling4
25954,88676,gan3
36319,88382,gen1
35762,88363,jiang3
38450,88032,fang2
29420,87916,du2
36131,87897,ze2
36739,87532,jiao4
23041,87280,wei1
33487,87185,su1
21452,87141,shuang1
21892,86770,shan4
